brand,model,year,mileage,fuel_type,engine,transmission,price
Audi,Q4 e-tron Sportback Premium,2023,1156,,295.0HP Electric Motor Electric Fuel System,A/T,54900
Chevrolet,Colorado Z71,2020,20909,Gasoline,3.6L V6 24V GDI DOHC,Automatic,35387
Audi,SQ5 3.0T Premium,2020,21832,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,42000
Toyota,Tundra 1794,2020,67400,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,47500
Kia,Telluride S,2023,14700,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,39900
Land Rover,Range Rover P525 Westminster,2021,17945,Gasoline,5.0L V8 32V GDI DOHC Supercharged,8-Speed Automatic,89900
Cadillac,Escalade ESV Luxury,2020,120000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,55000
Chevrolet,Silverado 3500 LTZ,2022,85200,Diesel,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,67500
Ford,Mustang GT Premium,2021,3000,Gasoline,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,49500
Chevrolet,Camaro LT1,2022,6700,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,39500
Porsche,Taycan Base,2021,6785,,Electric,2-Speed Automatic,108900
Jaguar,F-PACE SVR,2020,38800,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,57500
BMW,M340 i xDrive,2021,34967,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,49999
Rivian,R1S Adventure Package,2023,1150,,835.0HP Electric Motor Electric Fuel System,A/T,96850
Tesla,Model Y Long Range,2023,10000,,425.0HP Electric Motor Electric Fuel System,A/T,48000
Mercedes-Benz,E-Class E 350,2022,14100,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,53000
BMW,X7 xDrive40i,2023,14360,Hybrid,375.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,85495
Chevrolet,Trailblazer RS,2023,10000,Gasoline,155.0HP 1.3L 3 Cylinder Engine Gasoline Fuel,9-Speed A/T,32000
Chevrolet,Suburban Premier,2021,73846,Gasoline,5.3L V8 16V GDI OHV,10-Speed Automatic,60995
Jeep,Gladiator Overland,2020,40000,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,45000
GMC,Yukon XL AT4,2023,9980,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,82000
Alfa Romeo,Giulia Ti,2021,2000,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,39000
Volvo,XC60 Recharge Plug-In Hybrid T8 Inscription,2022,19352,Plug-In Hybrid,455.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,54599
Land Rover,Range Rover Supercharged LWB,2020,81000,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,64800
Audi,S5 3.0T Premium,2021,18100,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,51800
Toyota,Sequoia Platinum,2023,325,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,84997
Lamborghini,Aventador SVJ Base,2021,6987,Gasoline,6.5L V12 48V MPFI DOHC,7-Speed,749950
Genesis,GV80 2.5T,2022,7523,Gasoline,2.5L I4 16V PDI DOHC Turbo,8-Speed Automatic,54543
Kia,Sportage S,2021,16949,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,24995
Mercedes-Benz,S-Class S 580 4MATIC,2022,7968,Hybrid,496.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,104999
Ford,Maverick Lariat,2022,13700,Hybrid,191.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,39500
Kia,Telluride SX,2021,38612,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,42242
Land Rover,Range Rover Sport SVR,2022,15107,Gasoline,5.0L V8 32V GDI DOHC Supercharged,8-Speed Automatic,114900
Toyota,Corolla Hybrid LE,2022,44459,Hybrid,121.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,A/T,22945
Mercedes-Benz,Metris Base,2021,2284,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,157500
Land Rover,Range Rover P530 SE LWB 7 Seat,2023,350,Gasoline,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,195000
BMW,750 i xDrive,2020,25108,Gasoline,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,66000
Maserati,MC20 Base,2022,1087,Gasoline,3.0L V6 24V PDI DOHC Twin Turbo,8-Speed Automatic with Auto-Shift,279000
BMW,X6 xDrive40i,2023,16307,Hybrid,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,71400
Audi,S5 3.0T Prestige,2021,13566,Gasoline,3.0L,1-Speed Automatic,57900
Audi,Q7 Premium Plus,2022,22588,Hybrid,3.0 Liter TFSI,Automatic,52598
BMW,M2 Competition,2020,500,Gasoline,405.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,70000
GMC,Sierra 2500 Base,2021,8210,Gasoline,401.0HP 6.6L 8 Cylinder Engine Gasoline Fuel,A/T,55000
Lincoln,Nautilus Reserve,2021,18160,Gasoline,2.7L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,46850
BMW,530e Base,2022,22700,Plug-In Hybrid,288.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,A/T,47000
GMC,Sierra 1500 SLT,2021,23400,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,52000
Ford,Bronco Base,2022,6200,Gasoline,275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,7-Speed M/T,49000
Ford,F-150 XLT,2021,51808,Gasoline,5.0L V8 32V PDI DOHC,10-Speed Automatic,42388
Audi,S5 3.0T Prestige,2022,14739,Gasoline,3.0L,1-Speed Automatic,61900
Dodge,Charger GT,2021,33000,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,26999
Chevrolet,Silverado 1500 Limited High Country,2022,2550,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,60000
Jeep,Grand Cherokee Altitude,2020,35289,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,35470
RAM,1500 Laramie,2022,14636,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,46599
Audi,A6 55 Premium Plus,2023,6581,Gasoline,"3L V-6 gasoline direct injection, DOHC, variable valve control,","Automatic, 7-Spd S tronic Dual-Clutch",59900
Mercedes-Benz,AMG GT 53 Base,2020,22000,Hybrid,429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,83999
Land Rover,Range Rover P530 SE SWB,2023,2800,Gasoline,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,175000
Kia,Sportage Nightfall,2022,26468,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,27875
Kia,Sorento LX,2021,54200,Gasoline,191.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,23800
Acura,TLX Type S w/Performance Tire,2023,1798,Gasoline,355.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,53000
GMC,Sierra 1500 Denali Ultimate,2023,2500,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,84000
Ford,Bronco Outer Banks Advanced,2023,3400,Gasoline,275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,57000
Ford,Bronco,2021,3596,Gasoline,2.7L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,56900
Ford,Bronco Badlands Advanced,2022,4200,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,65994
Jeep,Wrangler Unlimited Rubicon,2022,1750,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,65500
BMW,X4 xDrive30i,2022,34800,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,46000
Jaguar,F-PACE S,2020,35580,Gasoline,3.0 Liter,Automatic,46998
GMC,Yukon XL SLT,2023,28500,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,67800
Hyundai,IONIQ 5 SE,2022,18500,,320.0HP Electric Motor Electric Fuel System,A/T,42000
Jaguar,F-PACE S,2023,4624,Gasoline,2.0 Liter,Automatic,56998
Hyundai,Santa Fe SE,2022,13610,Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,27450
Ford,Expedition Timberline,2023,8911,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,77430
Chevrolet,Silverado 1500 LT Trail Boss,2021,48641,Gasoline,5.3L V8 16V GDI OHV,10-Speed Automatic,43666
GMC,Sierra 1500 SLT,2021,11250,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,70250
Toyota,Tacoma SR,2020,27363,Gasoline,278.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,35000
Ford,F-150 Lightning XLT,2023,208,,563.0HP Electric Motor Electric Fuel System,A/T,89000
Dodge,Durango GT,2021,20386,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,32999
Ford,Bronco Outer Banks Advanced,2022,12000,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,65999
Honda,Pilot Elite,2021,42653,Gasoline,3.5L V6 24V GDI SOHC,9-Speed Automatic,38998
Nissan,Leaf SV PLUS,2023,5121,,Electric,1-Speed Automatic,28196
Rivian,R1S Launch Edition,2023,299,,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,92500
INFINITI,Q50 3.0t Red Sport 400,2020,23344,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,7-Speed Automatic,36999
Chevrolet,Traverse RS,2021,44373,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,36000
BMW,330 i,2021,26000,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,37000
Lexus,GX 460 Base,2021,39102,Gasoline,4.6 Liter,Automatic,51798
Chevrolet,Silverado 2500 High Country,2022,18860,Diesel,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,74500
Chevrolet,Camaro LT1,2022,7652,Gasoline,6.2 Liter,Automatic,39998
RAM,1500 Laramie,2022,16744,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,46999
Mercedes-Benz,Metris Base,2020,1025,Gasoline,2.0L I4 16V GDI DOHC Turbo,7-Speed Automatic,299000
BMW,X7 xDrive40i,2020,46000,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,54999
BMW,X7 xDrive40i,2022,8000,Hybrid,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,85000
Mercedes-Benz,Maybach S 580 4MATIC,2022,4760,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,229000
GMC,Sierra 1500 Denali,2021,44691,Gasoline,6.2L V8 16V GDI OHV,10-Speed Automatic,56900
Mitsubishi,Outlander SEL,2022,11700,Gasoline,181.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,33000
Porsche,911 Carrera GTS,2022,1837,Gasoline,3.0L H6 24V GDI DOHC Twin Turbo,8-Speed Automatic with Auto-Shift,179900
Ford,F-250 XLT,2022,36294,Diesel,6.7L V8 32V DDI OHV Turbo Diesel,Automatic,77535
Maserati,Ghibli S GranLusso,2020,12118,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,52900
Ford,Expedition XLT,2022,22169,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,57352
Ferrari,812 Superfast Base,2020,1575,Gasoline,788.0HP 6.5L 12 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,469900
Tesla,Model X Long Range Plus,2021,46897,,557.0HP Electric Motor Electric Fuel System,A/T,69000
Land Rover,Range Rover P400 SE SWB,2022,3369,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,139500
Dodge,Charger Scat Pack,2020,40208,Gasoline,485.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,38000
INFINITI,QX80 Luxe,2020,69000,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,31450
Rolls-Royce,Phantom,2023,1560,,,,599995
Toyota,RAV4 TRD Off Road,2020,46500,Gasoline,203.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,35200
Jeep,Gladiator Sport,2021,5779,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,41329
Ford,Bronco Big Bend Advanced,2023,12000,Gasoline,275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,54000
Ford,Expedition Timberline,2022,30301,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,68420
Toyota,Sequoia TRD Pro,2023,600,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,91995
Alfa Romeo,Giulia Ti,2023,9275,Gasoline,2.0L I4 16V GDI SOHC Turbo,8-Speed Automatic,43900
Kia,Forte GT-Line,2021,24534,Gasoline,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,21900
BMW,228 Gran Coupe i xDrive,2020,31100,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,26999
Ford,Expedition Platinum,2021,51902,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,57480
Ford,Mustang Mach-E GT,2022,7661,,Electric,1-Speed Automatic,49599
Ford,F-150 Raptor,2021,32957,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,77900
Chevrolet,Camaro 1SS,2021,12600,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,47000
Acura,TLX PMC Edition,2020,6900,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,43500
Hyundai,Palisade SEL,2021,68050,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,29600
BMW,430 i,2021,9472,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,51000
GMC,Terrain SLE,2020,26470,Gasoline,1.5L I4 16V GDI DOHC Turbo,9-Speed Automatic,29900
Audi,S4 3.0T Premium Plus,2020,23823,Gasoline,3.0L V6 24V GDI DOHC Turbo,8-Speed Automatic,49995
Lamborghini,Urus Base,2021,9500,Gasoline,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,279900
Acura,RDX w/A-Spec Package,2023,3959,Gasoline,2.0 Liter DOHC Turbo,Automatic,48998
Chevrolet,Corvette Stingray w/1LT,2021,10400,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,72900
Ford,F-150 Raptor,2022,17451,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,77900
BMW,M3 CS,2024,124,Gasoline,543.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,145000
Porsche,911 GT3,2023,265,Gasoline,4.0L H6 24V GDI DOHC,6-Speed Manual,279950
Mercedes-Benz,AMG GT 63 S 4-Door,2020,21214,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,117900
Cadillac,LYRIQ Luxury,2023,1090,,500.0HP Electric Motor Electric Fuel System,A/T,68750
BMW,M8 Gran Coupe Competition,2023,2900,Gasoline,617.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,117500
Ford,Bronco Sport Outer Banks,2021,28105,Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,32455
Mercedes-Benz,GLC 300 GLC 300,2022,11875,Gasoline,2.0 Liter Turbo,Automatic,41598
Lexus,ES 350 Base,2020,15324,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,33364
Acura,RDX w/Advance Package,2021,36267,Gasoline,2.0 Liter Turbo,Automatic,39798
Audi,Q5 S line Premium,2022,10120,Hybrid,2.0 Liter TFSI,Automatic,39998
Toyota,Sequoia TRD Pro,2020,37428,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,61599
Mercedes-Benz,GLE 350 Base 4MATIC,2020,48000,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,49995
MINI,Convertible Cooper,2022,15544,Gasoline,134.0HP 1.5L 3 Cylinder Engine Gasoline Fuel,A/T,28000
Acura,TLX Tech,2023,2118,Gasoline,2.0 Liter DOHC Turbo,Automatic,41998
Ford,F-150 Raptor,2021,28260,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,72950
Honda,Civic Si Base,2020,6025,Gasoline,205.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,27500
Honda,Ridgeline RTL-E,2022,9642,Gasoline,3.5L V6 24V GDI SOHC,9-Speed Automatic,38999
Mercedes-Benz,C-Class C300 4MATIC,2021,11111,Gasoline,2.0 Liter Turbo,Automatic,38998
Buick,Enclave Premium,2020,87555,Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,31650
Cadillac,Escalade Premium Luxury,2022,19250,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,86999
Lexus,GX 460 Premium,2023,2533,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,64900
Cadillac,CT6 Luxury,2020,22187,Gasoline,3.6L V6 24V GDI DOHC,10-Speed Automatic,45480
Ford,Bronco Outer Banks,2021,19590,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,54999
Cadillac,Escalade ESV Sport,2021,4500,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,105000
Lexus,GX 460 Base,2020,48210,Gasoline,4.6L V8 32V MPFI DOHC,6-Speed Automatic,47449
Ford,F-150 XLT,2021,77107,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,39995
Lexus,LC 500 Base,2021,915,Gasoline,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,159000
Cadillac,Escalade ESV Premium Luxury,2021,53169,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,81500
Lexus,GX 460 Premium,2022,35700,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,51900
Tesla,Model Y Long Range,2022,4665,,Dual Motor - Standard,Automatic,46598
BMW,X3 M40i,2021,36905,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,50000
Jeep,Gladiator Willys,2022,8400,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,47000
Acura,TLX A-Spec,2020,32500,Gasoline,206.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,32000
Volvo,XC90 Recharge Plug-In Hybrid T8 Inscription 7 Passenger,2022,7800,Plug-In Hybrid,455.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,66000
Rivian,R1S Adventure Package,2023,211,,835.0HP Electric Motor Electric Fuel System,A/T,99000
Audi,RS 5 2.9T,2022,9628,Gasoline,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,78500
Audi,R8 5.2 V10,2021,6397,Gasoline,5.2L V10 40V PDI DOHC,7-Speed Automatic with Auto-Shift,172900
Honda,Pilot Black Edition,2022,22564,Gasoline,3.5 Liter,Automatic,44998
Mercedes-Benz,Sprinter 3500 High Roof,2022,105,Diesel,161.0HP 2.0L 4 Cylinder Engine Diesel Fuel,7-Speed A/T,200000
Chevrolet,Trailblazer RS,2022,42479,Gasoline,1.3L I3 12V GDI DOHC Turbo,9-Speed Automatic,28495
Ford,Bronco Sport Base,2022,13865,Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,29182
BMW,M4 Competition xDrive,2022,15882,Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,84995
Land Rover,Defender,2022,12209,Gasoline,5.0L V8 32V GDI DOHC Supercharged,8-Speed Automatic,104900
Mercedes-Benz,AMG GLC 43 AMG GLC 43,2021,10483,Gasoline,3.0 Liter Twin Turbo,Automatic,60998
BMW,M4 Base,2020,31350,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,62450
Audi,Q8 55 Premium Plus,2021,30000,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,62000
Land Rover,Range Rover Sport HST MHEV,2020,52000,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,55000
Mercedes-Benz,E-Class AMG E 53,2020,23044,Hybrid,3.0 Liter Turbo,Automatic,72598
Chevrolet,Corvette Stingray w/3LT,2021,12000,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,99900
Ford,Bronco Outer Banks,2023,16500,Gasoline,275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,54000
Land Rover,Range Rover P530 SE LWB 7 Seat,2023,2100,Gasoline,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,172000
Cadillac,XT6 Premium Luxury AWD,2023,222,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,69000
Audi,Q8 55 Premium,2020,34300,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,52500
Acura,TLX,2023,3389,Gasoline,2.0 Liter DOHC Turbo,Automatic,38598
Porsche,Cayenne GTS Coupe AWD,2023,10000,Gasoline,453.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,145000
Dodge,Charger R/T,2021,7751,Gasoline,370.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,41950
Tesla,Model S Performance,2020,14700,,778.0HP Electric Motor Electric Fuel System,1-Speed A/T,63000
Mercedes-Benz,E-Class E 350 4MATIC,2022,9006,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,56999
Toyota,GR86 Base,2022,13400,Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,33499
Porsche,Macan S,2020,28570,Gasoline,3.0 Liter Turbo,Automatic,55998
Alfa Romeo,Giulia Base,2020,30000,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,28900
Lexus,LX 600 F SPORT,2023,490,Gasoline,409.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,A/T,124999
Porsche,Taycan Turbo,2020,18000,,616.0HP Electric Motor Electric Fuel System,A/T,105000
Kia,K5 EX,2021,8263,Gasoline,180.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,A/T,29000
RAM,1500 Big Horn,2021,35003,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,40999
Chevrolet,Corvette Stingray w/1LT,2022,6200,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,99999
Kia,Telluride SX,2020,38000,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,41999
Toyota,GR86 Premium,2022,1275,Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,47999
Toyota,Tundra Hybrid Capstone,2023,200,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,82500
Kia,Niro Plug-In Hybrid EX,2023,9400,Plug-In Hybrid,180.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,A/T,31500
Audi,Q5 S line Premium Plus,2023,5682,Hybrid,2.0 Liter TFSI,Automatic,48698
Nissan,Titan SV,2023,6200,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,48000
Land Rover,Range Rover P400 SE LWB 7 Seat,2023,4126,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,155000
Mercedes-Benz,G-Class G 550 4MATIC,2020,45000,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,133000
Honda,Civic Sport,2022,25420,Gasoline,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,24500
Land Rover,Defender 110 SE,2020,29700,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,68000
Mazda,CX-30 Select,2021,61874,Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,22389
Audi,Q5 S line Premium,2022,18099,Hybrid,2.0 Liter TFSI,Automatic,40798
RAM,1500 Laramie,2022,15607,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,45999
Jeep,Gladiator Sport,2021,15520,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,40459
RAM,1500 Big Horn,2021,49583,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,42816
Ford,F-150 XLT,2020,92000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,29999
RAM,1500 Big Horn,2020,25396,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,43250
RAM,1500 Laramie,2022,18645,Gasoline,5.7L V8 16V MPFI OHV,Automatic,49700
Audi,Q5 S line Premium Plus,2022,10071,Hybrid,2.0 Liter TFSI,Automatic,40598
Ford,F-150 XLT,2021,43329,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,43642
Land Rover,Range Rover Sport SVR Carbon Edition,2022,9000,Gasoline,575.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,115000
RAM,1500 Laramie,2020,10458,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,48815
Ford,Expedition Limited,2023,9281,Gasoline,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,85000
Chevrolet,Traverse Premier,2023,11806,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,47000
Cadillac,Escalade Platinum,2020,48613,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,61500
RAM,3500 Tradesman,2023,2990,Diesel,400.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,A/T,69900
RAM,1500 Big Horn,2021,24000,Hybrid,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,42000
